cycle,state,rss_kb,fd_count
0,baseline,219508,31
1,after_hide,228904,31
1,after_show,226736,31
2,after_hide,232176,31
2,after_show,227596,31
3,after_hide,227616,31
3,after_show,222716,31
4,after_hide,230104,31
4,after_show,225452,31
5,after_hide,227920,31
5,after_show,225472,31
6,after_hide,229480,31
6,after_show,227952,31
7,after_hide,232880,31
7,after_show,230432,31
8,after_hide,232900,31
8,after_show,232912,31
9,after_hide,232920,31
9,after_show,232932,31
10,after_hide,232944,31
10,after_show,234496,31
11,after_hide,230504,31
11,after_show,232056,31
12,after_hide,232060,31
12,after_show,232072,31
13,after_hide,232084,31
13,after_show,230556,31
14,after_hide,235488,31
14,after_show,233040,31
15,after_hide,237964,31
15,after_show,232136,31
16,after_hide,232144,31
16,after_show,233164,31
17,after_hide,233172,31
17,after_show,233184,31
18,after_hide,235656,31
18,after_show,233208,31
19,after_hide,237216,31
19,after_show,233228,31
20,after_hide,235696,31
20,after_show,233248,31
