elapsed_s,cpu_pct,rss_kb,vsize_kb,gpu_pct,vram_bytes_sysfs,vram_mb_radeontop
0.514,48.64,179120,2524356,50.83,1720692736,1649.42
1.017,45.73,179132,2524356,45.00,1720692736,1640.98
1.53,52.63,179144,2524356,45.00,1720692736,1640.98
2.035,47.52,179168,2524356,49.17,1720692736,1640.98
2.55,46.60,179168,2524356,49.17,1720692736,1640.98
3.065,52.43,179180,2524356,52.50,1720692736,1640.98
3.567,43.82,179192,2524356,52.50,1720692736,1640.98
4.081,46.69,179284,2524356,48.33,1720692736,1640.98
4.582,49.90,179296,2524356,48.33,1720692736,1640.98
5.097,48.54,179308,2524356,47.50,1720692736,1640.98
5.597,46.00,179336,2524356,47.50,1720692736,1640.98
6.098,49.90,179348,2524356,45.83,1720692736,1640.98
6.601,47.71,179360,2524356,45.83,1720692736,1640.98
7.116,50.49,179372,2524356,49.17,1720692736,1640.98
7.618,47.81,179384,2524356,49.17,1720692736,1640.98
8.13,52.73,179396,2524356,52.50,1720692736,1640.98
8.636,45.45,179408,2524356,52.50,1720692736,1640.98
9.151,44.66,179420,2524356,50.83,1720692736,1640.98
9.655,55.56,179432,2524356,50.83,1720692736,1640.98
10.168,44.83,179444,2524356,47.50,1720692736,1640.98
10.683,46.60,179456,2524356,47.50,1720692736,1640.98
11.185,51.79,179468,2524356,47.50,1720692736,1640.98
11.697,48.83,179480,2524356,47.50,1720692736,1640.98
12.198,45.91,179492,2524356,47.50,1720692736,1640.98
12.7,47.81,179504,2524356,47.50,1720692736,1640.98
13.201,49.80,179516,2524356,41.67,1720692736,1640.98
13.714,48.83,179528,2524356,41.67,1720692736,1640.98
14.216,45.82,179540,2524356,50.83,1720692736,1640.98
14.718,51.79,179552,2524356,50.83,1720692736,1640.98
15.232,48.64,179564,2524356,45.00,1720692736,1640.98
15.732,50.00,179576,2524356,45.00,1720692736,1640.98
16.235,49.70,179588,2524356,45.83,1720692736,1640.98
16.748,46.78,179600,2524356,45.83,1720692736,1640.98
17.249,47.90,179612,2524356,47.50,1720692736,1640.98
17.754,51.49,179612,2524356,47.50,1720692736,1640.98
18.264,46.97,179624,2524356,54.17,1720692736,1640.98
18.766,47.90,179648,2524356,54.17,1720692736,1640.98
19.268,49.80,179660,2524356,50.83,1720692736,1640.98
19.769,51.90,179660,2524356,50.83,1720692736,1640.98
20.282,46.78,179672,2526404,50.00,1720692736,1640.98
20.792,49.02,179684,2526404,50.00,1720692736,1640.98
21.299,51.28,179696,2526404,45.00,1720692736,1640.98
21.804,45.54,179708,2526404,45.00,1720692736,1640.98
22.319,48.54,179720,2526404,46.67,1720692736,1640.98
22.836,54.16,179732,2526404,46.67,1718595584,1640.98
23.349,46.78,179744,2526404,41.67,1718595584,1638.98
23.851,47.81,179756,2526404,41.67,1718595584,1638.98
24.353,53.78,179768,2526404,50.00,1718595584,1638.98
24.866,44.83,179780,2526404,50.00,1718595584,1638.98
25.37,47.62,179792,2526404,50.00,1718595584,1638.98
25.886,52.33,179804,2526404,50.00,1718595584,1638.98
26.403,46.42,179816,2526404,44.17,1718595584,1638.98
26.917,48.64,179828,2526404,45.83,1718595584,1638.98
27.419,51.79,179840,2526404,45.83,1718595584,1638.98
27.92,47.90,179852,2526404,50.00,1718595584,1638.98
28.433,44.83,179864,2526404,50.00,1718595584,1638.98
28.933,50.00,179876,2526404,45.00,1718595584,1638.98
29.436,49.70,179888,2526404,45.00,1718595584,1638.98
29.949,48.73,179900,2526404,44.17,1718595584,1638.98
30.451,47.81,179912,2526404,44.17,1718595584,1638.98
