elapsed_s,cpu_pct,rss_kb,vsize_kb,gpu_pct,vram_bytes_sysfs,vram_mb_radeontop
0.513,280.70,227444,4056456,7.50,1550934016,1479.09
1.015,282.31,228040,4056456,4.17,1550934016,1479.09
1.516,282.00,228052,4056456,4.17,1550934016,1479.09
2.017,291.42,228064,4056456,2.50,1550934016,1479.09
2.524,284.02,228076,4056456,2.50,1550934016,1479.09
3.027,284.29,228088,4056456,5.00,1550934016,1479.09
3.527,299.40,228100,4056456,5.00,1550934016,1479.09
4.028,278.00,228112,4056456,1.67,1550934016,1479.09
4.535,287.97,228124,4056456,1.67,1550934016,1479.09
5.038,286.28,228136,4056456,3.33,1550934016,1479.09
5.539,299.40,228388,4130188,3.33,1550934016,1479.09
6.04,295.41,228400,4130188,7.50,1550934016,1479.09
6.551,285.71,228412,4130188,7.50,1550934016,1479.09
7.053,292.83,228424,4130188,4.17,1550934016,1479.09
7.553,298.00,228436,4130188,4.17,1550934016,1479.09
8.053,288.00,228448,4130188,2.50,1550934016,1479.09
8.563,286.27,228460,4130188,2.50,1550934016,1479.09
9.068,293.07,228472,4130188,6.67,1550934016,1479.09
9.569,297.41,228484,4130188,6.67,1550934016,1479.09
10.081,287.11,228496,4130188,6.67,1550934016,1479.09
10.584,292.25,228508,4130188,6.67,1550934016,1479.09
11.085,295.41,228520,4130188,2.50,1550934016,1479.09
11.588,290.26,228532,4130188,2.50,1558142976,1479.09
12.089,317.37,228544,4130188,2.50,1558142976,1479.09
12.592,292.25,228556,4130188,2.50,1558142976,1479.09
13.093,293.41,228568,4130188,1.67,1558142976,1485.96
13.594,297.41,228580,4130188,1.67,1558142976,1485.96
14.094,286.00,228580,4130188,5.00,1558142976,1485.96
14.603,290.77,228592,4130188,5.00,1556439040,1485.96
15.105,294.82,228604,4130188,6.67,1556439040,1485.96
15.605,296.00,228616,4130188,6.67,1556439040,1485.96
16.106,281.44,228628,4130188,1.67,1556439040,1484.34
16.615,302.55,228640,4130188,1.67,1556439040,1484.34
17.119,287.70,228652,4130188,2.50,1556439040,1484.34
17.62,283.43,228664,4130188,2.50,1556439040,1484.34
18.121,289.42,228676,4130188,0.83,1556439040,1484.34
18.63,298.62,228980,4130188,0.83,1556439040,1484.34
19.134,295.63,228992,4130188,2.50,1556439040,1484.34
19.635,287.43,229004,4130188,2.50,1550934016,1484.34
20.146,285.16,229016,4130188,4.17,1550934016,1479.09
20.648,286.85,229028,4130188,4.17,1550934016,1479.09
21.149,304.00,229640,4130188,5.83,1550934016,1479.09
21.65,299.40,229664,4130188,5.83,1550934016,1479.09
22.162,289.06,229676,4130188,4.17,1550934016,1479.09
22.664,308.76,229688,4130188,4.17,1550934016,1479.09
23.165,289.42,232160,4132648,10.00,1550934016,1479.09
23.665,298.00,232172,4132648,10.00,1550934016,1479.09
24.18,283.50,232184,4132648,10.00,1550934016,1479.09
24.681,317.37,232196,4132648,10.00,1550934016,1479.09
25.182,295.41,232208,4132648,5.00,1550934016,1479.09
25.691,296.66,232220,4132648,5.00,1550934016,1479.09
26.194,295.63,232232,4132648,8.33,1550934016,1479.09
26.7,297.03,232244,4132648,8.33,1550934016,1479.09
27.209,302.55,232256,4132648,4.17,1550934016,1479.09
27.713,319.44,232268,4132648,4.17,1550934016,1479.09
28.213,290.00,232280,4132648,8.33,1550934016,1479.09
28.714,305.39,232292,4132648,8.33,1550934016,1479.09
29.223,314.34,232304,4132648,5.83,1550934016,1479.09
29.725,310.76,232304,4132648,5.83,1550934016,1479.09
30.231,298.42,232316,4132648,9.17,1550934016,1479.09
